Temperature (K),Luminosity (L/Lo),Radius (R/Ro),Absolute magnitude (Mv),Star type,Star category,Star color,Spectral Class
2318,0.0017752585368625226,0.10155879761812275,20.84030377604039,4,r,"Red,Blue",B
2677,0.0014614536026096635,0.13870856533807957,19.56838488014613,3,B,yellow-orange,F
2846,0.0019697976395539364,0.14544136756255896,18.20188221478589,0,w,Yellow,F
2850,0.0018848751081808278,0.12473697592479563,20.765983912282152,2,r,yellow-orange,K
2806,0.0008129831880554826,0.12538557272751533,17.010726010770174,2,B,white,M
2089,0.0015890406742084774,0.1548635901151642,19.902265908721493,4,f,yellow-orange,F
2083,0.0013591188175621916,0.11861020749537593,16.053338816229537,5,D,Yellow,K
2842,0.0009791319405154798,0.13802042851821805,16.083233208805247,5,D,"Red,Blue",K
2667,0.00159834186353121,0.19941386842817138,19.46426369356923,2,o,white,A
2508,0.001397294975795543,0.10528866467839916,17.250333450392965,1,o,Yellow,K
2444,0.0006719432495864902,0.12853468363707077,21.36119076949604,5,o,Yellow,F
2471,0.0022922336029705917,0.19822577710739395,16.97044600741404,5,a,Yellow,K
2278,0.0008201640005420506,0.12445961859831654,19.624732083258255,0, ,Yellow,O
2876,0.002358119097200338,0.10958814643892612,24.94614281885981,0,B,"Red,Blue",A
2011,0.002447436102043598,0.12032939870039513,20.490190505951546,1,w,"Red,Blue",O
2208,0.0010464319895245912,0.1000163367928169,16.43501930158392,1,w,"Red,Blue",G
2292,0.0009964018123434365,0.16664384723354253,23.873280605753443,4,o,"Red,Blue",O
2897,0.0007675846518090987,0.13078163618808622,19.183534263215396,5,n,yellow-orange,O
2390,0.001342663475970806,0.16646816345810816,16.640083750453975,4,f,yellow-orange,G
2259,0.0019864055901998886,0.1376214979620537,15.100248448284217,0,f,"Red,Blue",M
2277,0.0014606654243142024,0.1240311457083281,19.63542366998816,1, ,Yellow,G
2931,0.00035872731318330246,0.14655890842508482,20.601444608036562,5,f,Yellow,K
2779,0.0001187838649595057,0.16021976665841514,23.54472028643893,4,w,"Red,Blue",K
2434,0.002149605845629975,0.10387487388546027,24.11740503163277,4,n,Yellow,A
2642,0.0007779572439464453,0.13318039358723383,20.55414468840293,5,B,Yellow,M
2065,0.0013438093298831961,0.12161813352832708,24.99284914905904,5,o,Yellow,B
2569,0.0012964324270557284,0.10819599983631854,18.98277981028024,3,D,white,F
2434,0.0011239458433290805,0.18585762180875584,15.968527161304163,5,r,Yellow,G
2946,0.001470292965406278,0.13426032731848891,18.833483600292958,2, ,Yellow,B
2623,0.002472951300608667,0.18775048379488768,17.660988463772153,5,f,yellow-orange,M
2250,0.0007130438031700317,0.10738479848143116,18.653062811503798,2,B,yellow-orange,O
2428,0.0022238216593175315,0.17148288685433793,22.976527980767575,3,B,yellow-orange,F
2420,0.002424149638582898,0.19404577035019405,23.40434328909765,5,w,Yellow,F
2061,0.0023964861693992574,0.10820588855125296,17.36974179064777,0,D,"Red,Blue",K
2074,0.0012813678748307769,0.16701114376397497,17.507995608255637,2,r,"Red,Blue",B
2500,0.001822738505794477,0.12853872127804641,20.933595415362845,1, ,white,G
2848,0.0008498176713016717,0.11878712253668622,19.910706422036796,3,D,"Red,Blue",G
2054,0.002166532608549473,0.1965719488217271,22.24784456896406,3,a,Yellow,M
2652,0.0005568832376094014,0.17812495403518425,15.232839037610656,4,n,"Red,Blue",M
2060,0.0004267185395389085,0.1641351478176567,16.35241231367221,1,w,white,B
2694,0.0016133312505024905,0.17556830336097573,15.50324850424075,1,a,yellow-orange,A
2694,0.0019029148349841798,0.16617241368312338,20.95858234573358,3,a,"Red,Blue",M
2718,0.0019905566892148203,0.1436764706399522,21.340557572036417,1,r,white,O
2567,0.0007797604616883786,0.1165451727348427,18.766613540406635,5,w,"Red,Blue",O
2354,0.000628555986401468,0.12090444157680251,15.617828187704115,4,a,yellow-orange,O
2684,0.0018296445524690933,0.15639651130813978,17.369798878542838,0,n,yellow-orange,O
2229,0.0011272786072065838,0.11057761493579403,24.27850995409359,4,f,"Red,Blue",O
2010,0.0021826106645819487,0.1825160944879997,24.07201148479289,5,B,yellow-orange,B
2808,0.0021633205161839223,0.15536484982175663,23.693062328470248,0,w,white,G
2989,0.00013842603792750427,0.15721827828525406,17.748137507622637,5,a,yellow-orange,M
2031,0.0006749673006239624,0.1297539852610372,19.284755936523187,1,B,"Red,Blue",A
2185,0.0011882596461284234,0.18124563796992152,23.145058707851376,5,B,"Red,Blue",F
2928,0.0010283212621548026,0.19333569756455643,23.37814931116727,1,a,Yellow,F
2989,0.0012079909776179882,0.11453030129106101,22.39211194154828,1,n,yellow-orange,O
2665,0.0005403765468513178,0.16291691099231287,22.29908137556087,3,a,"Red,Blue",A
2891,0.00202737731773755,0.12399883374549997,19.754014959017123,1,a,Yellow,M
2032,0.001137566096368143,0.15726210734741106,22.069797835555732,5,B,Yellow,A
2385,0.0007477677876657441,0.18929452766154564,21.44560071473841,4,D,Yellow,F
2495,0.00020477328474843192,0.16901653542290895,21.175631074031823,0,w,"Red,Blue",A
2870,0.0007176313022265636,0.13406545656355146,24.12506010454632,0,r,yellow-orange,M
2678,0.0020305776361140013,0.10089214553868531,16.51527898461794,1, ,white,O
2626,0.001213613547545145,0.1863732083722431,17.675138888454143,0,B,"Red,Blue",M
2106,0.002400181650411908,0.11791245558333281,24.98786684458055,2,a,"Red,Blue",M
2509,0.0018843020721928015,0.11885439077377052,24.66802368291362,2,r,Yellow,M
2542,0.001218522234978409,0.15066767547097518,18.134695727541988,4, ,white,A
2525,0.0019390581429414397,0.12676133035432016,19.667782944761004,3,D,yellow-orange,K
2808,0.0001879226371707052,0.10911180927282074,17.421322813986368,1, ,yellow-orange,B
2486,0.0024745385752300442,0.13279983529227246,24.737239210708353,2,r,yellow-orange,F
2369,0.0004942467084421575,0.10917425488339265,18.579391620818516,1,B,"Red,Blue",G
2354,0.0021561323022691006,0.19321600863799337,21.361154345398003,2,a,Yellow,O
2284,0.0019365985488308782,0.16266687107737904,18.2597130949544,1,f,yellow-orange,B
2952,0.0017872252443056774,0.10144163147936536,18.82741767625986,5,r,yellow-orange,K
2015,0.001291277246010118,0.11457435405427534,18.650063140650683,3,f,"Red,Blue",O
2255,0.0016889698396304492,0.13502588338751836,19.217374240012497,0,f,yellow-orange,O
2807,0.000992458632636664,0.12520244654137463,22.72497651448958,2,w,Yellow,F
2936,0.0009950827998297688,0.10584547696737925,20.88625196360238,5,B,Yellow,B
2349,0.000615900446165469,0.1824045506878404,15.947077463534301,5,D,yellow-orange,K
2374,0.0012496146842836309,0.1413826066771966,20.17523833181705,4,f,"Red,Blue",O
2205,0.0009916227515689372,0.13070696141581495,16.607230683281177,0,r,yellow-orange,F
2674,0.0015541941788237202,0.13371724315049605,20.18347382736259,3,r,yellow-orange,F
2881,0.0005300669256618949,0.16478750351357657,17.966907571872476,4,w,yellow-orange,O
2458,0.0019087874330667137,0.12089159973418866,20.331472719029872,1,n,Yellow,K
2211,0.0006419430057868902,0.13188967466097928,17.65209950638649,2,f,white,G
2568,0.0011145473186709289,0.16207714963315328,22.065711350387737,0,n,yellow-orange,F
2902,0.0020729990512754304,0.11816607048523399,17.439612200823195,1,w,Yellow,K
2243,0.0003025016978233888,0.16411869781615163,21.459671822614492,4,r,Yellow,F
2529,0.0006968593822812956,0.16640685826125073,22.969331734205717,5,r,"Red,Blue",G
2531,0.002307334245919066,0.19783162280288624,19.25615108968887,0,a,"Red,Blue",F
2083,0.0009896413392886788,0.11033258108206173,24.067219208893388,3,o,white,A
2503,0.0017203205214269487,0.17788721618525408,23.351132533991766,3,w,"Red,Blue",O
2403,0.0012665314344289399,0.1534033648254446,23.452464363468522,2,n,Yellow,G
2508,0.0010635996198450342,0.16196687660623854,21.3049250833443,0,B,"Red,Blue",A
2926,0.001273676152502859,0.12716815618886082,20.538663863126857,2,r,white,F
2929,0.0017356070408988326,0.12350309035607242,17.760570777724542,0,B,"Red,Blue",G
2929,0.0009223590416673296,0.12914767208490635,17.952668671811153,4,o,yellow-orange,G
2333,0.001685769014055355,0.10798758967045957,22.840954870836782,2, ,Yellow,K
2164,0.00012418400816861688,0.1419738560382855,23.989956250870982,4,D,Yellow,M
2482,0.0021487302034265423,0.1905651333833957,16.525135843950206,0,o,Yellow,G
2078,0.0014338621041508786,0.11343826953948959,15.904778224297202,0,a,yellow-orange,K
2777,0.000834061026271865,0.1065773547899297,16.86940297990122,0,w,yellow-orange,G
2583,0.0009433747626159728,0.14796267438943264,23.97615692757922,5,r,"Red,Blue",K
2877,0.0013636433509991092,0.11898532220722383,22.3931137803466,2,w,Yellow,B
2433,0.0010482448220243898,0.1375605472504793,15.525984579574175,0,r,Yellow,O
2136,0.0006383461754116912,0.19363506396919816,21.439278661999793,2,n,yellow-orange,O
2861,0.00010674805324701158,0.1727620583363747,24.652560942939218,2,r,white,M
2547,0.0012701741593304562,0.1113228155603809,19.25493800663383,5,n,white,A
2381,0.0015606089120974572,0.18231843191359942,24.86874881716247,3,a,white,B
2557,0.001185688681105418,0.15001602587142784,17.18524238049267,3,r,white,F
2423,0.001873876612658665,0.12672480292124996,15.540573011278148,2,B,yellow-orange,M
2688,0.001349745308747189,0.10282921956905351,20.783494529210373,0,w,yellow-orange,F
2026,0.000480631902816788,0.197689659161877,19.821242423957923,2,w,Yellow,A
2886,0.0019567436925426807,0.13490526923088775,20.70391953037584,4,D,yellow-orange,K
2886,0.00041292924899311343,0.1312841400291331,15.644173277769022,1,B,Yellow,B
2259,0.0019216750453240686,0.17887028451485723,16.21397350568455,1,a,yellow-orange,O
2050,0.0023267274168751115,0.17680915324353094,20.94109291591893,3,r,yellow-orange,O
2386,0.001400849880534419,0.17160968021289258,20.72778633543167,3,B,white,F
2089,0.0011368088447241246,0.1683902823725712,18.457364971412126,0,r,Yellow,A
2327,0.002263905102050814,0.14365714901543775,15.420839537921033,4,o,yellow-orange,B
2020,0.0006863021031203388,0.10742106020193382,18.174099587650574,0,r,white,A
2604,0.00013253337919953242,0.1756209984211091,22.851796932090068,1,a,yellow-orange,B
2679,0.002473520414562094,0.1791518201911696,15.278117388426484,2,f,white,O
2086,0.0008867605643700086,0.11962659582405713,21.961642473595674,4,w,white,O
2641,0.0021588612882817186,0.18705842574600706,18.41953993876177,2,n,"Red,Blue",F
2615,0.0005216704371494446,0.13001794331424765,20.886830032157896,3,w,yellow-orange,M
2268,0.0018832410669468772,0.15719140406152615,16.124575945970168,4,a,white,A
2314,0.00244025658051336,0.17012169540636896,21.078367930472215,3,w,"Red,Blue",F
2856,0.0007792687094185077,0.18701896453012612,21.165293958792418,1,w,"Red,Blue",A
2878,0.002289457109877782,0.17609371605357907,20.03032272247919,2,f,yellow-orange,K
2514,0.0004241706890532167,0.1576901874053992,23.764002149654758,1,a,Yellow,B
2891,0.0004565676105266046,0.1872322271120474,17.634410201656145,1,D,Yellow,K
2955,0.0012961350507691898,0.15500462997460032,16.914042998964305,0,B,Yellow,A
2798,0.0018615613993399264,0.12676666750279814,20.94435877313095,0,f,"Red,Blue",B
2954,0.0021839197085376386,0.12601788816798912,22.58540730448793,5,B,"Red,Blue",A
2389,0.0011084806551190174,0.13004367812005632,20.17559828597354,4,D,yellow-orange,G
2957,0.00035249207673922005,0.12186619088618762,20.280460036249956,3,r,"Red,Blue",A
2780,0.001943080018297215,0.1315980904622787,16.243640817656903,4,r,yellow-orange,O
2534,0.00010643125429510141,0.12421518654181996,17.908235959571538,5, ,Yellow,O
2202,0.0016117412426448709,0.13799227483956655,15.249070268639661,4,B,"Red,Blue",O
2619,0.001974515101210683,0.19650947340073902,22.42181218707018,2,D,white,A
2898,0.001554857517385264,0.1029476979941718,19.368574150449106,1,n,white,A
2085,0.0021421642087710866,0.19247270818360482,22.949984659754357,1,a,white,M
2827,0.0008943109722317601,0.16578112047774304,18.6469006003546,4,B,Yellow,B
2388,0.0007941703680827056,0.18997298306512156,18.660587677583177,3,r,yellow-orange,M
2928,0.000818034688190438,0.1624138760512534,22.641548999101133,3,a,"Red,Blue",K
2022,0.0015113102512186384,0.11326478224437382,21.077447014089696,5,w,yellow-orange,O
2572,0.0008968727282799848,0.17810323978256207,19.64961807601955,4, ,white,F
2512,0.00038501606285048286,0.1053525738041486,20.94015577800996,1,w,Yellow,M
2253,0.0011021021758281745,0.12810296459147946,23.46366068963768,0,w,yellow-orange,O
2570,0.0010460965002916033,0.18663014314233772,16.213940542528015,3,w,"Red,Blue",A
2736,0.002107349246894895,0.10905716150958425,15.579157884480104,4,f,white,O
2984,0.0008180122525753454,0.15988450217552477,16.09188619445365,2,D,yellow-orange,M
2239,0.00016244643021869624,0.1859190571186707,23.42826989963615,0,B,yellow-orange,M
2229,0.0013356923538618655,0.12764982244149284,18.841690151970575,0,f,"Red,Blue",M
2898,0.00021400043328521462,0.13574195484040807,19.27271866346436,2,n,"Red,Blue",O
2003,0.0010818758851533444,0.17344691146924596,21.39830007408993,1,w,yellow-orange,F
2681,0.001515175023231731,0.14539059508085322,20.847859912144287,5,n,"Red,Blue",O
2304,0.0016428674896445377,0.17997413194462425,21.441087334030733,4,a,yellow-orange,K
2014,0.0007998893276952402,0.11658144388328218,19.17096798991644,2,D,white,K
2945,0.00022629311469353058,0.1396744589052445,16.965646192616337,3, ,white,G
2858,0.0015759717146850544,0.1668958803512532,20.194803148844702,2,r,"Red,Blue",G
2650,0.0011312544732843038,0.10353367807625741,23.534600858257114,5,a,yellow-orange,G
2033,0.0008581299330062565,0.1808054418762164,18.902616365974236,2,r,yellow-orange,K
2486,0.0019483113807804567,0.11103901104809097,15.391090540988833,0,n,Yellow,M
2347,0.000374624004034958,0.11102716695935613,22.091714870935537,2,B,"Red,Blue",G
2942,0.00014129005245785945,0.12482707022773643,22.60132761385499,2,w,white,B
2418,0.0015874765673683053,0.10436655544727755,16.265375526428944,2,o,yellow-orange,F
2105,0.0005227645003281026,0.13960080320477752,24.291719285530522,5,w,yellow-orange,M
2516,0.0003297475583319381,0.18816588389244962,16.957448632923484,5,w,"Red,Blue",G
2545,0.0011912783460515388,0.14774846901741834,15.978138947621192,1,o,Yellow,O
2463,0.0004223648649114571,0.13168369709662492,15.232396383023142,0,w,"Red,Blue",F
2782,0.0004309433277175132,0.1520728434737312,22.00052165911636,0,r,Yellow,K
2275,0.00018695689579122386,0.10842204951142183,23.907090662420067,4,B,Yellow,A
2420,0.0018161303460967494,0.16382910497508624,19.175124572427126,1,o,Yellow,K
2202,0.0011535844835276854,0.12208318430279627,19.779299056790762,0,w,white,G
2874,0.0004659823246661082,0.10025963629484423,23.16525914263897,2,B,Yellow,O
2301,0.00011085366460007666,0.1806358292818802,19.934111850007852,5,B,"Red,Blue",K
2955,0.0023162930318572504,0.15971723026483578,17.412430309566677,4,r,Yellow,K
2090,0.0014033273655143117,0.1440328382288442,24.625161138112464,0,w,yellow-orange,F
2738,0.0009441379503630409,0.1945314140784315,19.40403229621096,4,r,white,K
2638,0.0023748718620530034,0.18478646170768603,23.917582018674594,2,n,"Red,Blue",F
2862,0.0009112481222264357,0.19246961071887955,24.82305251442274,2,r,yellow-orange,A
2380,0.0012244511493618062,0.1026844246936968,19.571287820304825,5, ,Yellow,F
2438,0.0014414105419867547,0.1378973139474032,22.943828986646206,0,w,Yellow,A
2304,0.0011373471718827534,0.14003535140393342,19.760760971881012,2, ,"Red,Blue",A
2352,0.0013603512809336289,0.19640524870975412,19.693236862593785,1, ,"Red,Blue",O
2817,0.0007288521524419323,0.13079527819476444,21.327248538592908,3,w,white,A
2378,0.0016899108190425057,0.1968860160813933,19.12305875909221,4,o,yellow-orange,A
2919,0.0023620174874056155,0.11093992596055258,20.49318121543526,0, ,white,A
2980,0.000952755260009782,0.1165627046499967,16.35171353083682,5,a,white,M
2825,0.0020180707812906405,0.1380571481106491,23.025467058241336,0,D,"Red,Blue",F
2607,0.0008145714541114169,0.18023951339620523,19.466746161667842,3,w,white,M
2932,0.0011350888360925656,0.10660296465943689,17.92241068372052,3,a,Yellow,K
2227,0.002014433423590635,0.10666188190625019,24.57843379495847,5,r,white,O
2735,0.002208819015865462,0.11169450198567009,17.316095313899645,1, ,white,B
2624,0.0010639831287299294,0.12049091355062763,24.112601166650443,0,f,"Red,Blue",M
2370,0.0008107991970330312,0.11870605887293431,17.526311701014855,5,r,white,A
2530,0.000374317383157008,0.1896102792297505,15.300299771577178,4,n,"Red,Blue",A
2044,0.0010411323549526048,0.10137538451235184,21.473307605310904,3,f,yellow-orange,A
2283,0.00011442744742739199,0.11363985079043007,24.565616861845065,3,f,"Red,Blue",B
2083,0.0009191384197275675,0.11873346948699388,16.074396648574528,5, ,"Red,Blue",O
2008,0.0022400241849818833,0.18647913641883226,20.957621413329644,1,n,"Red,Blue",F
2866,0.0011702611395551584,0.15770515635483795,24.17879279927312,1,a,Yellow,B
2118,0.0020675796723458972,0.12310989819862758,22.0683972247767,5,n,yellow-orange,O
2970,0.0005147008510518674,0.12954686992916178,18.890010050302983,3,D,"Red,Blue",G
2561,0.00047971699449033545,0.16844986805208373,17.29081063610654,3,w,yellow-orange,A
2173,0.0013015396559931966,0.17766227476583218,16.152326272093497,0,D,Yellow,F
2253,0.0015578190578895944,0.14561847164029623,21.311298350793784,4,w,yellow-orange,A
2626,0.001815270513414862,0.18271697741712137,22.01050899623728,2,o,yellow-orange,A
2889,0.00248983298162515,0.11941349175602871,16.47061078241086,5,f,Yellow,G
2770,0.001166107094248914,0.11347505129825568,21.261360315669208,2,f,Yellow,O
2728,0.00036096761842174417,0.1606337344194188,20.102537362995914,2,o,yellow-orange,O
2329,0.0009211663440428806,0.16902449912182738,25.02875800405902,5,r,white,B
2196,0.0006350622681486667,0.1821253071154263,18.664260609851667,1,f,"Red,Blue",K
2572,0.001684449929474272,0.19383863068261675,24.8149231806404,1,r,white,G
2537,0.0002706631843257231,0.17880544992537592,17.0194232664063,3,r,white,F
2904,0.0023771330017133352,0.14492317822182593,17.831180416608138,5,a,yellow-orange,K
2677,0.0007980888190124944,0.18664067909340015,22.565304982352618,3,n,Yellow,G
2300,0.0017745312843704731,0.14056119198813546,21.3565597247597,5,n,"Red,Blue",B
2005,0.001356732496393517,0.13733318993321156,24.31082026800624,2, ,Yellow,G
2804,0.0013642989091584923,0.13158844128626762,17.3252165426925,5, ,"Red,Blue",K
2122,0.0004055546049215176,0.1782843076177532,15.51307589259394,4,w,white,F
2622,0.0016781647225550813,0.1448067471271576,16.59428239210459,0,a,yellow-orange,B
2891,0.001364548371748217,0.10530624294062155,20.500082455046854,4,r,white,O
2801,0.002220374081225102,0.1709689443061097,22.63607292771477,4,w,"Red,Blue",B
2830,0.00025285637544633465,0.12383851339191286,24.32653686107149,4,r,Yellow,F
2199,0.0022547343621224414,0.1781689252166755,20.44780137761243,2,r,yellow-orange,K
2545,0.00155449126916289,0.1797705072577064,17.25475601451026,3, ,yellow-orange,F
2754,0.0016910162175913272,0.17706237504860872,17.17700167250811,5,B,white,A
2477,0.0018576408860573389,0.18794612663724125,17.520755459358885,4,f,Yellow,O
2297,0.0008748994846802314,0.18601993169536085,22.567887256299244,2, ,"Red,Blue",A
2940,0.0021263516239985853,0.11592629423358938,24.61547620905925,1,o,yellow-orange,G
2686,0.0015799053128042226,0.15460256750958906,15.630937046563576,0,a,Yellow,B
2014,0.0009125790769547656,0.1298320933788232,17.205327670399658,4,B,Yellow,K
2402,0.0016609830271153221,0.14052795624230263,18.337873326878167,5,f,yellow-orange,K
2474,0.0015680277229869791,0.19700016926320654,19.840517271406362,1,a,yellow-orange,G
2264,0.001355302956740837,0.17741448290961648,24.294709397871795,4,r,Yellow,K
2456,0.0016539517313491825,0.1602678326245862,15.6270047875147,2,B,yellow-orange,G
2268,0.00027110398409733175,0.19661621524990344,23.81842074669389,4,B,white,F
2476,0.0003150070132725657,0.14668856090712115,20.80112175641527,3,w,"Red,Blue",M
2536,0.002259148122942336,0.1432856123762917,21.580804425587925,4,w,"Red,Blue",F
2386,0.0002705202108772697,0.10098442439561452,20.070283734401645,2,o,white,G
2370,0.0021100286258928843,0.12241999604279742,21.034334060879246,4,o,Yellow,A
2512,0.0024438220112601703,0.1471754874753568,19.104490274823362,3,r,Yellow,B
2866,0.001009299259963807,0.13951131449958068,19.62612931221448,4,D,Yellow,O
2925,0.0014309414804057129,0.1494877402292097,23.47649139789354,5,r,yellow-orange,O
2368,0.0016871983177086795,0.14107759213441273,21.675630695395018,1,a,"Red,Blue",G
2272,0.0013303073292609015,0.13028441723184864,17.916309725301183,1,r,white,B
2584,0.0022085906673662984,0.10928115214074471,17.2067433516868,5,w,"Red,Blue",B
2248,0.00027229373018132757,0.15591907958166432,24.509084612800567,2,w,yellow-orange,K
2814,0.0005488248522418143,0.1421716776945881,16.589953090970003,5,r,yellow-orange,M
2525,0.000686348162864181,0.12075444492210334,22.95287052116492,0, ,"Red,Blue",G
2148,0.0009178857922560025,0.1367252756551452,21.78121029819004,2,a,white,O
